Shop,AFFECTED_COMPONENT,FAILURE_NAME,CURRENT_UTILITY,OPTIMAL_UTILITY,CRITICALITY,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT, PMax,alpha,In Use REPLICA,LOAD,COSTS,RULE,Column1,Column2
mRUBiS #1,Comment Item Filter,CF5,0,4330.226055,23,3,0.5,22,2,1,1.055558678,5.798189426,73.83963857,0,4586,0.5,AddReplica,,
mRUBiS #1,Recommendation Item Filter,CF1,0,7650.426911,30,3,0.5,22,2,1,1.197651763,5.804851083,144.2496651,0,0,1.66,HwRedeployComponent,,
mRUBiS #1,Past Sales Item Filter,CF2,0,13528.09209,16,4,0.5,22,3,1,1.267239584,16.46641841,88.50170648,54,4586,0.35,RestartComponent,,
mRUBiS #1,Item Management Service,CF3,0,18480.55531,25,4,0.5,22,0,4,1.07715525,13.44823772,126.9011752,0,0,1.69,HwRedeployComponent,,
mRUBiS #1,User Management Service,CF2,3.64E-12,21275.46592,30,4,0.5,22,0,4,1.460128436,12.90307103,167.7922013,0,0,1.69,HwRedeployComponent,,
mRUBiS #1,Past Sales Item Filter,CF5,0,13658.19981,16,4,0.5,22,3,1,1.267239584,16.46641841,88.50170648,54,4586,0.5,AddReplica,,
mRUBiS #1,Availability Item Filter,CF2,1.82E-12,9054.950596,23,4,0.5,22,3,1,1.110298158,5.972367311,77.34298858,0,0,1.64,LwRedeployComponent,,
mRUBiS #1,Category Item Filter,CF3,1.82E-12,10918.48523,20,4,0.5,22,3,1,1.006633364,9.717121663,137.9606875,0,0,1.69,HwRedeployComponent,,
mRUBiS #1,Buy Now Item Filter,CF3,0,8292.035756,13,4,0.5,22,3,1,1.009460361,12.80042434,79.38079925,57,4586,1.69,HwRedeployComponent,,
mRUBiS #1,Bid and Buy Service,CF5,0,10622.53476,27,5,0.5,22,0,5,1.35613418,8.060657087,73.9594634,0,4586,0.5,AddReplica,,
mRUBiS #1,Region Item Filter,CF1,0,4938.575604,24,3,0.5,22,2,1,1.175641639,5.323259165,154.1970896,0,0,1.53,LwRedeployComponent,,
