Shop,AFFECTED_COMPONENT,FAILURE_NAME,CURRENT_UTILITY,OPTIMAL_UTILITY,CRITICALITY,COSTS,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT,RULE, PMax,alpha,In Use REPLICA,LOAD
mRUBiS #1,Persistence Service,CF2,-7.275957614183426E-12,59541.5724277642,21.0,2.1399999999999997,19,0.5,22.0,19,0,1.3297309527465526,HwRedeployComponent,16.94782753047918,97.04633434801788,52.0,4586.0,

mRUBiS #1,Query Service,CF3,0.0,135475.2540820185,27.0,2.71,38,0.5,22.0,37,1,1.1016192018337365,HwRedeployComponent,6.1646314621001395,85.67035108530558,0.0,0.0,

mRUBiS #1,Item Management Service,CF2,0.0,18480.55531332465,25.0,1.64,4,0.5,22.0,0,4,1.0771552504234878,LwRedeployComponent,13.448237720602824,126.90117522485181,0.0,0.0,

mRUBiS #1,Availability Item Filter,CF3,1.8189894035458565E-12,9054.950595931978,23.0,1.69,4,0.5,22.0,3,1,1.1102981576479085,HwRedeployComponent,5.972367310611631,77.34298858308269,15.0,285.0,

mRUBiS #1,Google Authentication Service,CF2,0.0,196417.4323825943,22.0,0.35,16,0.9,22.0,15,1,1.2112512772664892,RestartComponent,11.913207967664766,105.9324130771619,0.0,0.0,

mRUBiS #1,Inventory Service,CF2,0.0,19536.09626617423,11.0,1.75,6,0.5,22.0,4,2,1.2034417871620937,HwRedeployComponent,13.462899920141773,85.65241198212163,0.0,0.0,

mRUBiS #1,Reputation Service,CF3,-1.8189894035458565E-12,13779.400628545533,23.0,1.6899999999999997,4,0.5,22.0,0,4,1.2968167080751751,HwRedeployComponent,12.901919461091776,123.4888734227509,0.0,0.0,

mRUBiS #1,Reputation Service,CF2,-1.8189894035458565E-12,13779.400628545533,23.0,0.35,4,0.5,22.0,0,4,1.2968167080751751,RestartComponent,12.901919461091776,123.4888734227509,0.0,0.0,

mRUBiS #1,Persistence Service,CF3,-1.4551915228366852E-11,65810.50608432121,21.0,2.1999999999999997,21,0.5,22.0,21,0,1.3297309527465526,HwRedeployComponent,16.94782753047918,97.04633434801788,0.0,0.0,

mRUBiS #1,Bid and Buy Service,CF3,1.8189894035458565E-12,14350.529588085772,27.0,1.7199999999999998,5,0.5,22.0,0,5,1.3561341802413516,HwRedeployComponent,8.06065708747934,73.95946339621557,0.0,0.0,

mRUBiS #1,Query Service,CF2,-2.9103830456733704E-11,153784.20952445592,27.0,2.86,43,0.5,22.0,42,1,1.1016192018337365,HwRedeployComponent,6.1646314621001395,85.67035108530558,0.0,0.0,

mRUBiS #1,Comment Item Filter,CF3,0.0,5857.2121121485,23.0,1.66,3,0.5,22.0,2,1,1.0555586777885382,HwRedeployComponent,5.798189425816586,73.83963856894468,0.0,0.0,

mRUBiS #1,Buy Now Item Filter,CF1,0.0,8292.035755908864,13.0,0.35,4,0.5,22.0,3,1,1.0094603613799904,RestartComponent,12.80042434199084,79.38079925152111,57.0,4586.0,

mRUBiS #1,Comment Item Filter,CF5,0.0,4330.226055339615,23.0,0.5,3,0.5,22.0,2,1,1.0555586777885382,AddReplica,5.798189425816586,73.83963856894468,0.0,4586.0,

mRUBiS #1,Recommendation Item Filter,CF1,0.0,7650.426911490047,30.0,1.66,3,0.5,22.0,2,1,1.1976517633224057,HwRedeployComponent,5.804851082669145,144.24966512464175,0.0,0.0,

mRUBiS #1,Past Sales Item Filter,CF2,0.0,13528.092090074535,16.0,0.35,4,0.5,22.0,3,1,1.2672395839304218,RestartComponent,16.46641841097758,88.50170647587598,54.0,4586.0,

mRUBiS #1,Item Management Service,CF3,0.0,18480.55531332465,25.0,1.6899999999999997,4,0.5,22.0,0,4,1.0771552504234878,HwRedeployComponent,13.448237720602824,126.90117522485181,0.0,0.0,

