,Optimal_Affected_Component,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
72,Reputation Service,_SFOsH-cdEeet0YmmfbMwkw,CF3,47.7388,6.9093,6.9093,1.6789,3.8657,5.5771
73,Reputation Service,_SFLokecdEeet0YmmfbMwkw,CF2,47.4654,6.8895,6.8895,1.6764,3.86,5.5688
74,User Management Service,_SFGwkecdEeet0YmmfbMwkw,CF1,27.5811,5.2518,5.2518,1.4406,3.3171,4.7856
75,User Management Service,_SFLAXecdEeet0YmmfbMwkw,CF2,26.5967,5.1572,5.1572,1.4248,3.2808,4.7332
76,Item Management Service,_SFSWy-cdEeet0YmmfbMwkw,CF3,26.3602,5.1342,5.1342,1.4209,3.2719,4.7203
77,Persistence Service,_SFSVB-cdEeet0YmmfbMwkw,CF3,23.1017,4.8064,4.8064,1.3636,3.1399,4.5299
78,Inventory Service,_SFLn7ecdEeet0YmmfbMwkw,CF2,12.8765,3.5884,3.5884,1.1098,2.5554,3.6867
79,User Management Service,_SFMPZecdEeet0YmmfbMwkw,CF2,6.5124,2.5519,2.5519,0.8137,1.8737,2.7032
80,Bid and Buy Service,_SEx_IecdEeet0YmmfbMwkw,CF3,287.1689,16.9461,16.9461,2.4581,5.6601,8.1658
81,Authentication Service,_SExYMecdEeet0YmmfbMwkw,CF2,176.1212,13.2711,13.2711,2.2458,5.1712,7.4604
82,Inventory Service,_SEymFucdEeet0YmmfbMwkw,CF3,70.0623,8.3703,8.3703,1.8455,4.2494,6.1306
83,Inventory Service,_SEzNCecdEeet0YmmfbMwkw,CF3,15.2894,3.9102,3.9102,1.1844,2.7272,3.9345
84,User Management Service,_SExXgOcdEeet0YmmfbMwkw,CF1,7.2983,2.7015,2.7015,0.8632,1.9876,2.8676
85,Query Service,_SE_a_OcdEeet0YmmfbMwkw,CF2,1158.3698,34.0348,34.0348,3.0638,7.0548,10.1779
86,Query Service,_SE8-O-cdEeet0YmmfbMwkw,CF1,345.0845,18.5765,18.5765,2.5379,5.8438,8.4308
87,Bid and Buy Service,_SFDFYecdEeet0YmmfbMwkw,CF3,319.906,17.8859,17.8859,2.505,5.768,8.3215
88,Inventory Service,_SFDr0ecdEeet0YmmfbMwkw,CF3,313.9455,17.7185,17.7185,2.4969,5.7492,8.2944
89,Authentication Service,_SFDEvucdEeet0YmmfbMwkw,CF3,303.6253,17.4248,17.4248,2.4823,5.7158,8.2461
90,Item Management Service,_SE9lYOcdEeet0YmmfbMwkw,CF1,288.4933,16.9851,16.9851,2.4601,5.6647,8.1724
91,Reputation Service,_SE8W8-cdEeet0YmmfbMwkw,CF1,287.5439,16.9571,16.9571,2.4587,5.6614,8.1676
92,Persistence Service,_SFB2pucdEeet0YmmfbMwkw,CF3,280.1762,16.7385,16.7385,2.4474,5.6354,8.1302
93,Item Management Service,_SFACAucdEeet0YmmfbMwkw,CF2,268.5785,16.3884,16.3884,2.4291,5.5931,8.0692
94,Inventory Service,_SFApHecdEeet0YmmfbMwkw,CF2,259.7735,16.1175,16.1175,2.4146,5.5598,8.0211
95,Bid and Buy Service,_SE-L5ecdEeet0YmmfbMwkw,CF1,258.117,16.066,16.066,2.4118,5.5534,8.0119
96,Query Service,_SFB3SOcdEeet0YmmfbMwkw,CF3,257.1141,16.0348,16.0348,2.4101,5.5495,8.0063
97,User Management Service,_SFABWOcdEeet0YmmfbMwkw,CF2,226.7944,15.0597,15.0597,2.3556,5.424,7.8252
98,Inventory Service,_SE-zLOcdEeet0YmmfbMwkw,CF2,202.041,14.2141,14.2141,2.3054,5.3085,7.6585
99,Persistence Service,_SE_aWucdEeet0YmmfbMwkw,CF2,197.3085,14.0467,14.0467,2.2951,5.2848,7.6243
100,Inventory Service,_SFDscecdEeet0YmmfbMwkw,CF3,151.8691,12.3235,12.3235,2.1815,5.023,7.2467
101,Bid and Buy Service,_SFAodecdEeet0YmmfbMwkw,CF2,135.4165,11.6369,11.6369,2.1317,4.9084,7.0813
102,Inventory Service,_SE7wFecdEeet0YmmfbMwkw,CF1,123.5644,11.116,11.116,2.0919,4.8168,6.9491
103,Bid and Buy Service,_SE-MhecdEeet0YmmfbMwkw,CF1,109.4518,10.4619,10.4619,2.0392,4.6955,6.7742
104,User Management Service,_SE8-s-cdEeet0YmmfbMwkw,CF1,108.8895,10.435,10.435,2.037,4.6903,6.7667
105,Persistence Service,_SE8XmecdEeet0YmmfbMwkw,CF1,107.831,10.3842,10.3842,2.0327,4.6806,6.7526
106,Reputation Service,_SE-z0OcdEeet0YmmfbMwkw,CF2,106.8745,10.338,10.338,2.0289,4.6717,6.7398
107,Item Management Service,_SFCeOOcdEeet0YmmfbMwkw,CF3,86.6455,9.3084,9.3084,1.9377,4.4618,6.4371
108,Last Second Sales Item Filter,_SFCduucdEeet0YmmfbMwkw,CF3,48.6215,6.9729,6.9729,1.6868,3.8841,5.6035
109,Reputation Service,_SFBPgOcdEeet0YmmfbMwkw,CF3,29.6528,5.4454,5.4454,1.4721,3.3896,4.8901
110,Query Service,_SFMO7ecdEeet0YmmfbMwkw,CF2,1337.5066,36.5719,36.5719,3.1263,7.1986,10.3853
111,Query Service,_SFE57ucdEeet0YmmfbMwkw,CF1,1155.9879,33.9998,33.9998,3.063,7.0527,10.1749
112,Query Service,_SFKaeecdEeet0YmmfbMwkw,CF2,1155.9522,33.9993,33.9993,3.0629,7.0527,10.1749
113,Authentication Service,_SFOEm-cdEeet0YmmfbMwkw,CF3,808.6845,28.4374,28.4374,2.9078,6.6954,9.6594
114,Query Service,_SEtGGecdEeet0YmmfbMwkw,CF3,708.0253,26.6087,26.6087,2.85,6.5625,9.4677
115,Query Service,_SEuUWecdEeet0YmmfbMwkw,CF3,617.2332,24.8442,24.8442,2.7904,6.4252,9.2697
116,Query Service,_SFNdpOcdEeet0YmmfbMwkw,CF3,439.0278,20.953,20.953,2.6425,6.0846,8.7782
117,Bid and Buy Service,_SFJytecdEeet0YmmfbMwkw,CF1,407.8874,20.1962,20.1962,2.6105,6.011,8.672
118,Bid and Buy Service,_SFM2T-cdEeet0YmmfbMwkw,CF2,405.3852,20.1342,20.1342,2.6079,6.0048,8.6631
119,Inventory Service,_SFGIpOcdEeet0YmmfbMwkw,CF1,364.5622,19.0935,19.0935,2.5618,5.8987,8.51
120,Inventory Service,_SFOq2-cdEeet0YmmfbMwkw,CF3,311.5459,17.6507,17.6507,2.4935,5.7415,8.2833
121,Bid and Buy Service,_SFFhsucdEeet0YmmfbMwkw,CF1,285.0626,16.8838,16.8838,2.4549,5.6527,8.1551
122,Item Management Service,_SFSWK-cdEeet0YmmfbMwkw,CF3,268.8865,16.3978,16.3978,2.4296,5.5943,8.0709
123,Reputation Service,_SFKZMecdEeet0YmmfbMwkw,CF1,266.8873,16.3367,16.3367,2.4263,5.5868,8.0601
124,Item Management Service,_SFLBB-cdEeet0YmmfbMwkw,CF2,265.4099,16.2914,16.2914,2.4239,5.5813,8.0521
125,Persistence Service,_SFGvd-cdEeet0YmmfbMwkw,CF1,250.404,15.8242,15.8242,2.3986,5.5231,7.9681
126,Reputation Service,_SFOrf-cdEeet0YmmfbMwkw,CF3,246.1974,15.6907,15.6907,2.3913,5.5061,7.9437
127,Bid and Buy Service,_SFLBsecdEeet0YmmfbMwkw,CF2,228.5307,15.1172,15.1172,2.3589,5.4317,7.8362
128,Inventory Service,_SFM29-cdEeet0YmmfbMwkw,CF2,202.8291,14.2418,14.2418,2.3071,5.3124,7.6641
129,Inventory Service,_SFS9EOcdEeet0YmmfbMwkw,CF3,201.8101,14.206,14.206,2.3049,5.3073,7.6569
130,Bid and Buy Service,_SFM1r-cdEeet0YmmfbMwkw,CF2,199.1944,14.1136,14.1136,2.2993,5.2943,7.638
131,Item Management Service,_SFJK--cdEeet0YmmfbMwkw,CF1,188.6241,13.734,13.734,2.2756,5.2398,7.5594
132,Bid and Buy Service,_SFJyFecdEeet0YmmfbMwkw,CF1,167.3698,12.9371,12.9371,2.2237,5.1202,7.3869
133,Item Management Service,_SFMQD-cdEeet0YmmfbMwkw,CF2,167.2312,12.9318,12.9318,2.2233,5.1194,7.3857
134,Query Service,_SFSVCecdEeet0YmmfbMwkw,CF3,167.0945,12.9265,12.9265,2.223,5.1186,7.3845
135,Bid and Buy Service,_SFGH_OcdEeet0YmmfbMwkw,CF1,167.0054,12.9231,12.9231,2.2227,5.118,7.3838
136,Reputation Service,_SFGu0ecdEeet0YmmfbMwkw,CF1,165.9984,12.884,12.884,2.2201,5.112,7.375
137,Persistence Service,_SFKZ1-cdEeet0YmmfbMwkw,CF2,164.1224,12.811,12.811,2.2152,5.1006,7.3586
138,Inventory Service,_SFJzXecdEeet0YmmfbMwkw,CF1,149.3547,12.2211,12.2211,2.1742,5.0063,7.2226
139,User Management Service,_SFE6ZucdEeet0YmmfbMwkw,CF1,148.7136,12.1948,12.1948,2.1724,5.002,7.2164
140,Item Management Service,_SFFhCOcdEeet0YmmfbMwkw,CF1,146.449,12.1016,12.1016,2.1657,4.9867,7.1943
141,Bid and Buy Service,_SFS8aOcdEeet0YmmfbMwkw,CF3,138.5882,11.7723,11.7723,2.1417,4.9315,7.1147
142,Item Management Service,_SFOD9OcdEeet0YmmfbMwkw,CF3,126.8539,11.2629,11.2629,2.1033,4.843,6.987
143,Authentication Service,_SFSW0ucdEeet0YmmfbMwkw,CF3,112.3527,10.5997,10.5997,2.0506,4.7216,6.8119
144,Persistence Service,_SFETG-cdEeet0YmmfbMwkw,CF1,94.0289,9.6969,9.6969,1.9733,4.5436,6.555
145,Persistence Service,_SFNdAucdEeet0YmmfbMwkw,CF2,93.9473,9.6926,9.6926,1.9729,4.5427,6.5538
146,Last Second Sales Item Filter,_SFODducdEeet0YmmfbMwkw,CF3,89.8241,9.4776,9.4776,1.9534,4.4979,6.489
147,Last Second Sales Item Filter,_SFSVrecdEeet0YmmfbMwkw,CF3,88.3181,9.3978,9.3978,1.946,4.4809,6.4646
148,Query Service,_SFGwGecdEeet0YmmfbMwkw,CF1,77.1903,8.7858,8.7858,1.8876,4.3463,6.2703
149,Bid and Buy Service,_SFLnRecdEeet0YmmfbMwkw,CF2,76.8255,8.765,8.765,1.8855,4.3415,6.2635
150,Bid and Buy Service,_SFOFPucdEeet0YmmfbMwkw,CF3,75.2797,8.6764,8.6764,1.8767,4.3212,6.2342
151,Persistence Service,_SFS-WucdEeet0YmmfbMwkw,CF3,72.1673,8.4951,8.4951,1.8583,4.279,6.1733
152,Reputation Service,_SFS9tOcdEeet0YmmfbMwkw,CF3,67.501,8.2159,8.2159,1.8293,4.2121,6.0768
153,Persistence Service,_SFMOS-cdEeet0YmmfbMwkw,CF2,57.4807,7.5816,7.5816,1.7595,4.0514,5.845
154,Persistence Service,_SFOsJecdEeet0YmmfbMwkw,CF3,51.6693,7.1881,7.1881,1.7132,3.9449,5.6912
155,Reputation Service,_SFLokecdEeet0YmmfbMwkw,CF2,47.4654,6.8895,6.8895,1.6764,3.86,5.5688
156,User Management Service,_SFGwkecdEeet0YmmfbMwkw,CF1,27.5811,5.2518,5.2518,1.4406,3.3171,4.7856
157,User Management Service,_SFLAXecdEeet0YmmfbMwkw,CF2,26.5967,5.1572,5.1572,1.4248,3.2808,4.7332
158,Inventory Service,_SFLn7ecdEeet0YmmfbMwkw,CF2,12.8765,3.5884,3.5884,1.1098,2.5554,3.6867
159,User Management Service,_SFMPZecdEeet0YmmfbMwkw,CF2,6.5124,2.5519,2.5519,0.8137,1.8737,2.7032
160,Inventory Service,_SEx_KecdEeet0YmmfbMwkw,CF2,259.6222,16.1128,16.1128,2.4143,5.5592,8.0203
161,Bid and Buy Service,_SExYNOcdEeet0YmmfbMwkw,CF1,75.3243,8.679,8.679,1.8769,4.3218,6.235
162,Reputation Service,_SEz0VucdEeet0YmmfbMwkw,CF3,49.2348,7.0167,7.0167,1.6923,3.8966,5.6216
163,Reputation Service,_SEymGucdEeet0YmmfbMwkw,CF3,48.7134,6.9795,6.9795,1.6876,3.886,5.6062
164,Reputation Service,_SEzNDecdEeet0YmmfbMwkw,CF3,6.5718,2.5635,2.5635,0.8177,1.8828,2.7163
165,Query Service,_SFB2qOcdEeet0YmmfbMwkw,CF3,1501.7148,38.752,38.752,3.1766,7.3144,10.5524
166,Query Service,_SE_a_OcdEeet0YmmfbMwkw,CF2,1158.3698,34.0348,34.0348,3.0638,7.0548,10.1779
167,Authentication Service,_SFCeP-cdEeet0YmmfbMwkw,CF3,366.1145,19.1341,19.1341,2.5636,5.9029,8.5162
168,Query Service,_SE8-O-cdEeet0YmmfbMwkw,CF1,345.0845,18.5765,18.5765,2.5379,5.8438,8.4308
169,Item Management Service,_SE9lYOcdEeet0YmmfbMwkw,CF1,288.4933,16.9851,16.9851,2.4601,5.6647,8.1724
