,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
422,_SFDE0-cdEeet0YmmfbMwkw,CF3,61.9099,5.7674,10.1722,3.3893,6.1898,8.3696
423,_SFCeTucdEeet0YmmfbMwkw,CF3,26.2969,3.9571,6.1138,2.3623,4.2929,5.7483
424,_SFE6ZucdEeet0YmmfbMwkw,CF3,26.3159,3.9761,6.1328,2.3803,4.3119,5.7673
425,_SFDr4ecdEeet0YmmfbMwkw,CF3,15.628,3.2722,4.66,1.9621,3.4951,4.6519
426,_SFDsgecdEeet0YmmfbMwkw,CF3,15.629,3.2732,4.661,1.9631,3.4961,4.6529
427,_SFESgecdEeet0YmmfbMwkw,CF3,15.631,3.2752,4.663,1.9651,3.4981,4.6549
428,_SFETIecdEeet0YmmfbMwkw,CF3,15.632,3.2762,4.664,1.9661,3.4991,4.6559
429,_SFE58ucdEeet0YmmfbMwkw,CF3,15.63,3.2742,4.662,1.9641,3.4971,4.6539
430,_SFGwGecdEeet0YmmfbMwkw,CF1,97.779,6.8539,13.0995,3.8352,7.1797,9.7571
431,_SFKaeecdEeet0YmmfbMwkw,CF1,97.785,6.8599,13.1055,3.8412,7.1857,9.7631
432,_SFMO7ecdEeet0YmmfbMwkw,CF2,97.793,6.8749,13.1205,3.8172,7.2007,9.7711
433,_SFOEsOcdEeet0YmmfbMwkw,CF2,61.9259,5.7764,10.1882,3.3983,6.1988,8.3856
434,_SFFhsucdEeet0YmmfbMwkw,CF1,50.3902,5.2702,9.0063,3.1318,5.7549,7.7306
435,_SFGH_OcdEeet0YmmfbMwkw,CF1,50.3912,5.2712,9.0073,3.1328,5.7129,7.7316
436,_SFJyFecdEeet0YmmfbMwkw,CF1,50.3982,5.2782,9.0143,3.1398,5.7559,7.7326
437,_SFJytecdEeet0YmmfbMwkw,CF1,50.4002,5.2802,9.0163,3.1418,5.7209,7.7336
438,_SFLBsecdEeet0YmmfbMwkw,CF2,50.4092,5.2892,9.0253,3.1508,5.7569,7.7346
439,_SFLnRecdEeet0YmmfbMwkw,CF2,50.4112,5.2912,9.0273,3.1528,5.7309,7.7356
440,_SFM1r-cdEeet0YmmfbMwkw,CF2,50.4152,5.2952,9.0313,3.1568,5.7579,7.7366
441,_SFM2T-cdEeet0YmmfbMwkw,CF2,50.4162,5.2962,9.0323,3.1578,5.7349,7.7376
442,_SFNdAucdEeet0YmmfbMwkw,CF2,41.3994,4.8594,8.0287,2.9204,5.2734,7.0875
443,_SFOEBucdEeet0YmmfbMwkw,CF2,28.4829,4.244,6.5424,2.6135,4.5967,6.1042
444,_SFGvd-cdEeet0YmmfbMwkw,CF1,27.9579,4.1945,6.4581,2.5852,4.5435,6.0386
445,_SFKZ1-cdEeet0YmmfbMwkw,CF1,27.9589,4.1955,6.4591,2.5752,4.5445,6.0396
446,_SFMOS-cdEeet0YmmfbMwkw,CF2,27.9649,4.2015,6.4651,2.5872,4.5505,6.0456
447,_SFGu0ecdEeet0YmmfbMwkw,CF1,26.3349,3.9951,6.1518,2.5023,4.3309,5.7863
448,_SFGwkecdEeet0YmmfbMwkw,CF1,26.3429,4.0031,6.1598,2.5043,4.3389,5.7943
449,_SFJK--cdEeet0YmmfbMwkw,CF1,26.3469,4.0071,6.1638,2.5063,4.3429,5.7983
450,_SFKZMecdEeet0YmmfbMwkw,CF1,26.3579,4.0181,6.1748,2.4143,4.3539,5.8093
451,_SFLAXecdEeet0YmmfbMwkw,CF1,26.3659,4.0261,6.1828,2.4223,4.3619,5.8173
452,_SFLBB-cdEeet0YmmfbMwkw,CF1,26.3709,4.0311,6.1878,2.4273,4.3669,5.8223
453,_SFLokecdEeet0YmmfbMwkw,CF2,26.3849,4.0451,6.2018,2.5093,4.3809,5.8363
454,_SFMPZecdEeet0YmmfbMwkw,CF2,26.3899,4.0501,6.2068,2.5103,4.3859,5.8413
455,_SFMQD-cdEeet0YmmfbMwkw,CF2,26.3939,4.0541,6.2108,2.5113,4.3899,5.8453
456,_SFNdqOcdEeet0YmmfbMwkw,CF2,15.635,3.2792,4.665,1.9691,3.5021,4.6589
457,_SFGIpOcdEeet0YmmfbMwkw,CF1,14.101,3.1601,4.4212,1.8893,3.3627,4.4609
458,_SFJzXecdEeet0YmmfbMwkw,CF1,14.104,3.1631,4.4222,1.8923,3.3657,4.4619
459,_SFLn7ecdEeet0YmmfbMwkw,CF2,14.109,3.1681,4.4232,1.8973,3.3707,4.4629
460,_SFM29-cdEeet0YmmfbMwkw,CF2,14.111,3.1701,4.4242,1.8993,3.3727,4.4639
461,_SFOFUucdEeet0YmmfbMwkw,CF3,176.755,8.4456,17.7573,4.388,8.4121,11.5223
462,_SFS8fOcdEeet0YmmfbMwkw,CF3,176.756,8.4466,17.7583,4.389,8.4131,11.5233
463,_SFODgecdEeet0YmmfbMwkw,CF2,12.581,3.0484,4.2051,1.8182,3.2249,4.278
464,_SFSW5-cdEeet0YmmfbMwkw,CF3,61.9289,5.7794,10.1912,3.4013,6.2018,8.3886
465,_SEu7jecdEeet0YmmfbMwkw,CF3,50.3632,5.2432,8.9793,3.1048,5.6869,7.6666
466,_SEvipucdEeet0YmmfbMwkw,CF3,50.3642,5.2442,8.9803,3.1058,5.6879,7.6676
467,_SEwJr-cdEeet0YmmfbMwkw,CF3,50.3662,5.2462,8.9823,3.1078,5.6899,7.6696
468,_SEwwp-cdEeet0YmmfbMwkw,CF3,50.3682,5.2482,8.9843,3.1098,5.6919,7.6716
469,_SFSWQecdEeet0YmmfbMwkw,CF3,26.4289,4.0891,6.2458,2.4803,4.4249,5.8803
470,_SFOq6-cdEeet0YmmfbMwkw,CF3,15.638,3.2822,4.668,1.9721,3.5051,4.6619
471,_SFS9IOcdEeet0YmmfbMwkw,CF3,15.641,3.2852,4.671,1.9751,3.5081,4.6649
472,_SFOsNucdEeet0YmmfbMwkw,CF3,12.582,3.0494,4.2061,1.8192,3.2259,4.286
473,_SFSVHecdEeet0YmmfbMwkw,CF3,12.584,3.0514,4.2081,1.8212,3.2279,4.288
